Event_id,Event_name,Price,Event_type,Location_Province,Address,Latitude,Longitude,Date,Time,Description,Image_link,Ticket_info,Ticket_link
11,Him including up.,348,church,Western Cape,"528 Robert Crossroad, Susanland, Western Cape - Lat: -32.341691, Lon: 21.352030",-32.34169055537017,21.35202976549248,2025-04-19,17:45,"Put new determine speak start quite already company military box perhaps cost. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?lifestyle,Early Bird,https://www.ticketmaster.co.za/
12,Here population.,487,sport,Free State,"166 Riddle Bypass, South Erinbury, Free State - Lat: -29.383096, Lon: 27.066485",-29.383095967367083,27.06648475173698,2024-10-25,23:31,"Right light rather analysis race small. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?night light,General,https://www.ticketmaster.co.za/
13,Rule age rate.,227,corporate,Eastern Cape,"797 David Glens, Castrohaven, Eastern Cape - Lat: -31.377726, Lon: 17.441742",-31.3777261258964,17.441741570077657,2024-11-27,22:49,"Media much camera there later pull military find common interesting media look. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?lifestyle,VIP,https://www.ticketmaster.co.za/
14,Be believe course.,184,sport,Gauteng,"379 Luke Cove, North Ryan, Gauteng - Lat: -25.616306, Lon: 27.587203",-25.616306003297485,27.587202840785903,2025-03-24,14:16,"Again final if attack Republican pattern order remain grow recognize record action whom. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?music,VVIP,https://www.ticketmaster.co.za/
15,Together medical court.,134,food,Northern Cape,"620 Gonzalez Isle, West Erin, Northern Cape - Lat: -30.738176, Lon: 18.249649",-30.738175587673872,18.249649142036457,2024-10-27,18:57,Point his budget of sometimes world third focus economic whether impact enjoy music. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?corporate,VVIP,https://www.ticketmaster.co.za/
16,Team ok big.,0,sport,Gauteng,"26 Kathryn Plaza, Jonesland, Gauteng - Lat: -26.306811, Lon: 27.987432",-26.306811125595647,27.987431718553758,2025-02-18,09:05,"Peace send week quite live memory ready increase blue chance throw. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?night light,Free,No entrance fee
17,Move able central.,397,church,Limpopo,"851 Kelly Ports, Jacobsmouth, Limpopo - Lat: -22.320727, Lon: 22.480130",-22.320726684144738,22.480129525323836,2024-10-01,21:14,"Some sit who soldier price everyone reveal positive us financial. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?corporate,General,https://www.ticketmaster.co.za/
18,Expect father that.,209,school,Gauteng,"623 Williams Groves, Weavermouth, Gauteng - Lat: -25.537599, Lon: 27.554320",-25.537599442605078,27.554320241713,2024-11-06,18:58,Garden cut debate admit last suffer since. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?food,VVIP,https://www.ticketmaster.co.za/
19,Challenge.,214,food,Eastern Cape,"77 Graham Squares, Whiteberg, Eastern Cape - Lat: -30.895331, Lon: 18.159243",-30.89533067618961,18.159242501521,2024-12-03,23:20,Really question year after daughter individual doctor. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?school,Early Bird,https://www.ticketmaster.co.za/
20,Choice machine.,291,church,Western Cape,"130 Kathleen Vista, Estradahaven, Western Cape - Lat: -33.290726, Lon: 19.300124",-33.290725643623304,19.300123692115967,2024-12-02,19:12,"Third finish case herself write Mr your modern dog prepare consumer away. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?night light,Early Bird,https://www.ticketmaster.co.za/
21,Fast nation record.,419,school,Mpumalanga,"311 Turner Plaza, Lake Ashleymouth, Mpumalanga - Lat: -25.159582, Lon: 30.985665",-25.159582499444134,30.985665489859855,2025-05-21,15:46,Cut risk sort standard those executive other strong somebody writer employee medical within. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?food,Early Bird,https://www.ticketmaster.co.za/
22,Fire matter.,399,sport,Mpumalanga,"93 White Court, West Patricia, Mpumalanga - Lat: -24.143915, Lon: 29.699377",-24.14391487736543,29.69937732136196,2025-04-06,15:50,"Place much some national college phone mind edge our artist bar scene watch. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?sports,General,https://www.ticketmaster.co.za/
23,High meet performance.,170,night light,Northern Cape,"446 Kenneth Drive, East Allisonville, Northern Cape - Lat: -31.458592, Lon: 20.428100",-31.458592414163974,20.428100295256478,2025-06-03,21:23,"Democratic yeah window camera analysis great upon step four help physical. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?church,Early Bird,https://www.ticketmaster.co.za/
24,Capital you report.,0,sport,Free State,"531 Michael Trail, Craigborough, Free State - Lat: -27.756351, Lon: 27.357138",-27.7563513693067,27.357137831862538,2024-12-22,09:36,"Speak drug product yet however prepare soldier plan reflect between. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?school,Free,No entrance fee
25,Important.,331,church,Free State,"459 Kevin Vista, Lake Andreside, Free State - Lat: -29.216592, Lon: 26.281355",-29.216592339936593,26.28135497025406,2024-11-14,12:28,"Alone turn evidence view smile pattern. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?church,VVIP,https://www.ticketmaster.co.za/
26,Just write life.,144,sport,North West,"566 Turner Motorway, Sarahfort, North West - Lat: -26.138046, Lon: 24.690354",-26.138046325779285,24.690354104457143,2024-10-21,10:38,"Deep scientist many sit meet no. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?night light,VIP,https://www.ticketmaster.co.za/
27,Way thousand mean.,360,school,Free State,"863 James Road, West Teresa, Free State - Lat: -29.794315, Lon: 27.163738",-29.79431506542654,27.163737851698848,2025-04-03,18:46,By rest cost article white loss TV. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?concert,VVIP,https://www.ticketmaster.co.za/
28,Left husband.,175,church,Limpopo,"329 Blevins Neck, New Kelly, Limpopo - Lat: -23.306372, Lon: 25.120464",-23.30637244684855,25.120463825644304,2024-12-10,19:33,"Environment change notice television worry improve effort energy. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?night light,General,https://www.ticketmaster.co.za/
29,Arm memory sure.,432,school,Eastern Cape,"504 Jeffery Mills, South Angela, Eastern Cape - Lat: -30.530932, Lon: 17.258481",-30.530931691998962,17.25848136515928,2025-04-21,10:26,Drive issue explain this city direction opportunity. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?night light,General,https://www.ticketmaster.co.za/
30,After important.,302,night light,North West,"398 Lee Road, Port Emilymouth, North West - Lat: -26.956905, Lon: 25.137045",-26.956904538712248,25.137044663414656,2025-04-01,08:13,"Amount magazine speak executive one both economy almost man avoid. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?food,General,https://www.ticketmaster.co.za/
31,Eye.,496,school,KwaZulu-Natal,"42 David Pass, Tomshire, KwaZulu-Natal - Lat: -27.029165, Lon: 28.295958",-27.02916503271082,28.29595766258892,2024-10-14,12:14,Certainly event marriage past treatment rise reduce. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?sports,VIP,https://www.ticketmaster.co.za/
32,Collection after strategy.,366,music,Gauteng,"922 Patrick Motorway, Schmittbury, Gauteng - Lat: -26.373482, Lon: 28.044404",-26.37348169520542,28.044403535402406,2025-06-10,08:40,Trouble as general public crime paper. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?music,Early Bird,https://www.ticketmaster.co.za/
33,Little store.,432,food,North West,"304 Joseph Oval, Port Laura, North West - Lat: -26.874268, Lon: 25.262093",-26.87426847442148,25.262093285457908,2025-01-08,15:59,Hear protect form program various structure. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?corporate,General,https://www.ticketmaster.co.za/
34,Enter film.,157,church,Western Cape,"682 Young Keys, Rodneyfurt, Western Cape - Lat: -33.172451, Lon: 19.894106",-33.1724510026281,19.89410632318606,2024-12-27,22:04,"Doctor its law evidence sense third be other here. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?music,VVIP,https://www.ticketmaster.co.za/
35,During.,377,lifestyle,KwaZulu-Natal,"817 Randy Inlet, Beltranland, KwaZulu-Natal - Lat: -27.490633, Lon: 30.235320",-27.49063295015609,30.235320404040262,2024-12-15,23:40,"Magazine stock current situation recently must analysis now table. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?music,Early Bird,https://www.ticketmaster.co.za/
36,Interest administration shoulder.,255,lifestyle,Northern Cape,"645 Chase Gardens, Williammouth, Northern Cape - Lat: -31.088594, Lon: 21.565241",-31.088594281826136,21.56524056913954,2025-02-06,10:58,"Out gun drop sometimes activity physical. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?lifestyle,VIP,https://www.ticketmaster.co.za/
37,Matter.,326,night light,North West,"323 David Place, Port Douglas, North West - Lat: -26.621872, Lon: 26.032538",-26.621871608334953,26.032537886370903,2025-04-16,18:10,"Nor civil dream because him space hit bad up various that coach investment. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?sports,VVIP,https://www.ticketmaster.co.za/
38,Painting up nice newspaper.,493,sport,Limpopo,"897 Smith Forks, Carlosside, Limpopo - Lat: -23.731749, Lon: 28.509489",-23.731749400938728,28.509488649533914,2025-02-26,08:12,"Term if occur future white little. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?sports,VIP,https://www.ticketmaster.co.za/
39,Environment.,359,night light,Free State,"231 Walters Expressway, Hernandezstad, Free State - Lat: -27.096614, Lon: 26.557272",-27.09661431084717,26.55727169895549,2025-05-13,09:49,"Enough reduce support end physical head event role left shake. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?corporate,VIP,https://www.ticketmaster.co.za/
40,Yet cup case.,232,night light,Western Cape,"326 Joanna Burgs, Wattsville, Western Cape - Lat: -33.780075, Lon: 21.410280",-33.78007545454512,21.41028007766657,2024-10-15,18:03,"Once ago skill indeed notice maybe while food assume head. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?church,VIP,https://www.ticketmaster.co.za/
41,Part dog.,0,night light,Limpopo,"862 Brown Prairie, Nguyenmouth, Limpopo - Lat: -22.685276, Lon: 25.985130",-22.685275982969024,25.985130091410205,2025-06-23,13:40,"Between benefit however tonight behavior community right hit try. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?lifestyle,Free,No entrance fee
42,Whose establish Republican.,109,music,Northern Cape,"126 Thomas Glens, West Kathleenburgh, Northern Cape - Lat: -28.410950, Lon: 21.485299",-28.410949667735586,21.48529865852751,2025-01-15,10:03,Technology theory ago the another tough. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?corporate,General,https://www.ticketmaster.co.za/
43,Glass finally on.,435,school,KwaZulu-Natal,"951 Justin Way, New Christopher, KwaZulu-Natal - Lat: -27.526852, Lon: 28.034260",-27.526851574466424,28.034259689363243,2025-03-18,22:55,Rather product bit service end follow head morning outside somebody special. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?food,VIP,https://www.ticketmaster.co.za/
44,Argue with.,239,school,Western Cape,"109 Patrick Highway, Kathleenfort, Western Cape - Lat: -32.509670, Lon: 20.227156",-32.50967008505717,20.227156119205883,2025-01-11,17:04,World figure matter deal practice join time. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?concert,Early Bird,https://www.ticketmaster.co.za/
45,He remember above.,401,sport,Western Cape,"745 Matthew Landing, East Kristen, Western Cape - Lat: -33.322048, Lon: 18.766762",-33.322048091317555,18.76676225866942,2024-10-22,23:24,"Trouble need father half identify believe price condition image type beautiful teach. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?concert,Early Bird,https://www.ticketmaster.co.za/
46,Grow like.,112,church,Mpumalanga,"101 Hernandez Curve, Garciastad, Mpumalanga - Lat: -24.312925, Lon: 29.568152",-24.31292481758809,29.568151562119603,2024-12-16,21:39,"Eight this from husband base must cell whether. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?church,VIP,https://www.ticketmaster.co.za/
47,Health serve.,404,lifestyle,Eastern Cape,"274 Zachary Path, Lake Brittanymouth, Eastern Cape - Lat: -34.544210, Lon: 17.532001",-34.54420970671478,17.53200146610405,2025-05-21,10:14,"Enjoy kitchen benefit reach against course then herself five. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?lifestyle,VVIP,https://www.ticketmaster.co.za/
48,Yet and goal.,302,music,Gauteng,"7 Angela Pines, Phillipchester, Gauteng - Lat: -26.488635, Lon: 27.968664",-26.488634763697146,27.968664458632766,2025-03-09,21:22,On collection store company film role west image agency eat tough hotel end. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?sports,VVIP,https://www.ticketmaster.co.za/
49,Man house phone.,210,church,KwaZulu-Natal,"29 Sheila Ridges, Kevinchester, KwaZulu-Natal - Lat: -28.382644, Lon: 28.599949",-28.382643605316336,28.599948832664285,2025-03-15,21:58,"If pattern company evidence figure Republican majority cup prove task evidence operation town nice. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?school,VIP,https://www.ticketmaster.co.za/
50,Pull such.,0,church,Gauteng,"530 Bell Ramp, Port Debbieside, Gauteng - Lat: -25.583380, Lon: 27.886703",-25.583380406392855,27.886702834408673,2025-06-01,12:31,"Stock wind finish court official agree describe team cover forward or. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?lifestyle,Free,No entrance fee
51,Free.,431,lifestyle,Western Cape,"7 Andrew Grove, Port Elizabethton, Western Cape - Lat: -33.101195, Lon: 18.776115",-33.101195210175504,18.77611463578038,2025-02-01,22:07,"Religious day reason public argue method. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?lifestyle,Early Bird,https://www.ticketmaster.co.za/
52,There member.,227,music,Free State,"377 Heather Forks, Bettybury, Free State - Lat: -27.218731, Lon: 24.823386",-27.21873058306757,24.823385765727863,2025-02-04,09:24,Energy imagine important firm certain receive PM. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?food,VVIP,https://www.ticketmaster.co.za/
53,Federal go.,0,corporate,Western Cape,"553 Preston Parkway, Lake Valerieside, Western Cape - Lat: -32.271450, Lon: 21.224556",-32.27145040494223,21.22455593181829,2024-10-03,12:11,"Friend herself agree within defense boy close nation manage. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?sports,Free,No entrance fee
54,Most certain.,0,music,Eastern Cape,"633 Brandi Meadow, Marissaport, Eastern Cape - Lat: -33.920452, Lon: 16.564996",-33.92045227700294,16.564995527942237,2025-01-16,20:17,Meeting movement customer according participant lay improve crime knowledge hear second. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?corporate,Free,No entrance fee
55,Story.,381,night light,Free State,"230 Mcclure Plain, South Rebecca, Free State - Lat: -28.295620, Lon: 24.310314",-28.295620429281236,24.310313852975682,2025-05-10,11:08,"Civil hour myself too bed near purpose. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?corporate,General,https://www.ticketmaster.co.za/
56,Town race.,390,corporate,Eastern Cape,"334 Hines Track, Benjaminstad, Eastern Cape - Lat: -30.506309, Lon: 20.773106",-30.506309224357388,20.773106206356147,2025-05-20,20:55,"Like receive continue order give white own so away a medical. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?school,VIP,https://www.ticketmaster.co.za/
57,Pretty good way.,210,school,Mpumalanga,"161 Cunningham Haven, Grayview, Mpumalanga - Lat: -24.368972, Lon: 30.468321",-24.36897198096345,30.46832057813759,2025-01-15,10:32,Foot plan new simply collection budget public weight alone nice government bag would. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?food,VIP,https://www.ticketmaster.co.za/
58,Light nothing.,148,night light,Gauteng,"341 Johnson Villages, Hansenmouth, Gauteng - Lat: -26.220759, Lon: 28.116532",-26.220758903798405,28.1165317110435,2025-02-15,17:29,"Such skin every place start range nothing prevent machine behind more value news. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?concert,General,https://www.ticketmaster.co.za/
59,Affect safe chair.,258,church,Northern Cape,"355 Moore Rapid, South Courtney, Northern Cape - Lat: -31.019338, Lon: 17.940073",-31.019338462236405,17.940073252345698,2025-02-04,20:33,"Leg detail learn hot weight idea important source. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?sports,VVIP,https://www.ticketmaster.co.za/
60,Clearly.,425,school,Western Cape,"462 Rasmussen Plaza, Deniseville, Western Cape - Lat: -33.448697, Lon: 21.321583",-33.44869721831813,21.32158256362897,2024-12-09,19:24,Difficult every degree else hair statement let four never card so picture. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?lifestyle,VIP,https://www.ticketmaster.co.za/
61,Treat prevent.,0,lifestyle,Eastern Cape,"16 Downs Meadows, New Stephanie, Eastern Cape - Lat: -32.506903, Lon: 16.606410",-32.506903216395024,16.606410042069104,2024-11-18,20:15,"Data establish chance step kid federal free hospital create. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?night light,Free,No entrance fee
62,Ahead right recent store.,0,corporate,North West,"467 Joshua Heights, North Frankfort, North West - Lat: -26.713904, Lon: 26.540022",-26.713903566066183,26.54002168199645,2025-03-01,10:59,"Choose local run over activity walk religious late. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?food,Free,No entrance fee
63,Likely put find.,123,school,Eastern Cape,"398 Powell Burgs, West Kristina, Eastern Cape - Lat: -33.893197, Lon: 20.291385",-33.89319699928587,20.29138485341644,2025-03-01,17:40,Key where whole north fast arrive low figure group. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?night light,VIP,https://www.ticketmaster.co.za/
64,Staff pattern.,205,sport,KwaZulu-Natal,"365 Melissa Mountain, Cynthiamouth, KwaZulu-Natal - Lat: -27.577312, Lon: 29.289070",-27.577311706964206,29.289069526440517,2025-04-17,12:54,"Able guess work present economic ever girl. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?concert,VVIP,https://www.ticketmaster.co.za/
65,Share why.,391,lifestyle,Western Cape,"328 Freeman Drives, Melissastad, Western Cape - Lat: -32.298377, Lon: 20.684310",-32.29837681184482,20.684310246223383,2024-11-25,12:14,"Attention effort need PM identify laugh military lot start tax meet education. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?food,General,https://www.ticketmaster.co.za/
66,Throughout box time.,114,music,Western Cape,"480 Flores Green, South Gregory, Western Cape - Lat: -32.516464, Lon: 20.391935",-32.51646448770867,20.39193484657736,2025-02-13,14:13,Town agree human should receive expert step important key kid. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?night light,Early Bird,https://www.ticketmaster.co.za/
67,Hard help.,482,food,Free State,"182 Daniel Rest, North James, Free State - Lat: -29.442898, Lon: 24.434497",-29.44289802090776,24.434497455060676,2025-05-09,20:41,Rather job she rule dog toward reality. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?church,VVIP,https://www.ticketmaster.co.za/
68,End check spend.,184,corporate,Western Cape,"167 Lynch Lights, Garciaside, Western Cape - Lat: -33.836534, Lon: 18.242780",-33.836533586959234,18.24277981661426,2025-01-28,15:30,"Doctor sign teacher dinner against when ground everybody party plant finish popular. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?music,General,https://www.ticketmaster.co.za/
69,Better material.,212,sport,Northern Cape,"746 Charles Wells, Maryshire, Northern Cape - Lat: -30.026932, Lon: 22.290728",-30.026932072615566,22.290728410140325,2024-11-13,22:53,"Fly yes company return next step network. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?corporate,Early Bird,https://www.ticketmaster.co.za/
70,Capital tough boy.,329,food,Mpumalanga,"137 Martin Common, East Julieside, Mpumalanga - Lat: -24.550839, Lon: 30.166501",-24.550838715422834,30.166500586194786,2025-05-13,15:00,If administration general wall area sure fill bring letter result. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?lifestyle,VIP,https://www.ticketmaster.co.za/
71,Conference away.,0,sport,Mpumalanga,"883 Henry Street, Port Heatherbury, Mpumalanga - Lat: -24.666226, Lon: 29.154803",-24.666226476121118,29.15480255441223,2024-11-07,14:54,"Least operation car language plant special pick. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?school,Free,No entrance fee
72,Trial standard.,195,sport,Western Cape,"278 Taylor Lodge, West Gregoryburgh, Western Cape - Lat: -33.483554, Lon: 21.047479",-33.48355352907117,21.047479016355727,2024-12-04,13:17,"Time box service add claim three. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?food,General,https://www.ticketmaster.co.za/
73,Whatever.,348,night light,Mpumalanga,"489 Meyer Hill, South Alfred, Mpumalanga - Lat: -24.340400, Lon: 30.407299",-24.34039991586347,30.40729858220741,2025-04-18,13:00,"Life table present fear individual into poor finally speak ahead. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?music,VIP,https://www.ticketmaster.co.za/
74,Book who.,0,food,Gauteng,"792 Hill Haven, New Joseburgh, Gauteng - Lat: -26.105778, Lon: 28.458746",-26.10577794492831,28.45874575668404,2025-03-13,21:10,Save go billion various military language say song safe. Join us at the food festival to savor exquisite dishes that will leave your taste buds wanting more.,https://picsum.photos/200/300?concert,Free,No entrance fee
75,Best prove.,474,corporate,Limpopo,"380 Hernandez Village, Lake Lori, Limpopo - Lat: -23.146579, Lon: 25.861209",-23.146578507182433,25.8612090860291,2025-02-02,20:50,"Include particular note civil dark couple among American security. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?music,General,https://www.ticketmaster.co.za/
76,Billion finish son.,308,lifestyle,North West,"192 Glenn Shores, New Raymond, North West - Lat: -26.494693, Lon: 25.481146",-26.494692590014363,25.481145902358328,2025-02-20,23:32,"Face if body adult they if perhaps state future relate nearly relationship opportunity. Immerse yourself in the latest trends at our lifestyle expo, a hub of inspiration and style.",https://picsum.photos/200/300?concert,General,https://www.ticketmaster.co.za/
77,Within officer our.,0,sport,Gauteng,"983 Morgan Locks, Michaeltown, Gauteng - Lat: -25.915441, Lon: 28.166890",-25.915441100985234,28.16688960744326,2024-11-17,17:55,"Find book leg spring wonder dinner else become. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?school,Free,No entrance fee
78,Suffer.,106,church,Western Cape,"152 Tiffany Fields, Palmershire, Western Cape - Lat: -32.927212, Lon: 18.698149",-32.92721248844329,18.698148555102993,2025-06-26,18:54,"Past vote side mean pay key. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?food,VVIP,https://www.ticketmaster.co.za/
79,Activity young keep step.,144,corporate,Eastern Cape,"499 Juan Lock, Brownfort, Eastern Cape - Lat: -30.973316, Lon: 16.689123",-30.973316428566523,16.689123481759786,2025-04-07,18:23,"Fight treatment his offer class structure head station worry be. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?corporate,VVIP,https://www.ticketmaster.co.za/
